  #from ADF
  #starting   #final  #ispin   Cij 
    1     2     1    0.1233056477557E+00
    1     3     1    0.4246064687171E-09
    1     4     1   -0.3192575362616E-09
    1     5     1   -0.3183543844070E-09
    1     6     1   -0.1343188274731E+01
    1     7     1    0.1043646978245E-07
    1     8     1    0.1566582547085E-07
    1     9     1   -0.1713987879620E-08
    1    10     1   -0.9538104211225E-01
