  #from ADF
  #starting   #final  #ispin   Cij 
    1     2     1    0.4221074785605E-09
    1     3     1   -0.1176092171103E-07
    1     4     1   -0.1342899235847E+01
    1     5     1   -0.6228535374617E-01
    1     6     1    0.5691817117317E-09
    1     7     1    0.2469974680732E-09
    1     8     1    0.3454052299118E-09
    1     9     1   -0.1199993721327E-09
    1    10     1   -0.2605740127100E-09
