          45          10
  9.000113445529985E-002  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  2.173239432351227E-002  6.571766698770690E-002
  0.000000000000000E+000  0.000000000000000E+000  3.361727608368682E-003
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  6.571762815191032E-002  0.226039356132188       0.000000000000000E+000
  0.000000000000000E+000  1.598986461752465E-002  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.438437761250244E-019  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  1.443714383384315E-019  0.000000000000000E+000
  3.361727275690765E-003  1.598987248436207E-002  0.000000000000000E+000
  0.000000000000000E+000 -5.601536280013792E-004  9.000108906535384E-002
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  -3.94910793888762       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  -14.1796142370290        2.88358768015932     
  0.000000000000000E+000  0.000000000000000E+000 -0.325036493569249     
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
   2.88358757232835      -0.667005646873612       0.000000000000000E+000
  0.000000000000000E+000  0.103970184635898       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
 -6.782537697830801E-018  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000 -6.795503942761458E-018  0.000000000000000E+000
 -0.325036515846690       0.103970195649771       0.000000000000000E+000
  0.000000000000000E+000  8.025823291386205E-003  -3.94910819687982     
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  -2.50426852213182       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000   2.38900735303513       -1.82858487752321     
  0.000000000000000E+000  0.000000000000000E+000 -0.211700098525638     
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  -1.82858544125228        1.59199065848691       0.000000000000000E+000
  0.000000000000000E+000  0.254874738403186       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.176238339817059E-016  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  1.165644262201669E-016  0.000000000000000E+000
 -0.211700373707633       0.254874991131812       0.000000000000000E+000
  0.000000000000000E+000 -2.020760896533208E-002  -2.50427038268894     
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
