  #from ADF
  #starting   #final  #ispin   Cij 
    1     2     1    0.1451167238082E-10
    1     3     1   -0.1782702015282E-01
    1     4     1    0.1123244086671E-09
    1     5     1   -0.3476046265322E-10
    1     6     1   -0.1295377112063E-08
    1     7     1   -0.2800466514831E-08
    1     8     1   -0.5823261395781E-08
    1     9     1    0.1409530874492E+01
    1    10     1    0.5764785951997E-09
