  #from ADF
  #starting   #final  #ispin   Cij 
    1     2     1   -0.5495366698164E-09
    1     3     1    0.3242232719620E-07
    1     4     1   -0.6228535374237E-01
    1     5     1    0.1342899235765E+01
    1     6     1   -0.5492537676187E-09
    1     7     1   -0.4812063503907E-09
    1     8     1   -0.6042603851326E-09
    1     9     1    0.9859118884777E-09
    1    10     1    0.1058527937511E-09
