  #from ADF
  #starting   #final  #ispin   Cij 
    1     2     1    0.1194645399981E-01
    1     3     1    0.1334753220425E-08
    1     4     1   -0.8041749837695E-10
    1     5     1   -0.3777745220337E-10
    1     6     1   -0.3727475499737E-01
    1     7     1   -0.1101144657418E-08
    1     8     1   -0.1620040654903E-08
    1     9     1   -0.3355124467521E-09
    1    10     1    0.1404795102399E+01
